,Product_name,Price,Review
193,"Spigen 10000 mAh Wireless Power Bank (20 W, Fast Charging, Power Delivery 3.0, Quick Charge 3.0)  (Black, Lithium Polymer)",2499.0,4.8
194,"Callmate 80000 mAh Power Bank (15 W, Fast Charging)  (Black, Lithium Polymer)",3499.0,3.7
195,"PoMiFi 25000 mAh Power Bank  (Black, Lithium-ion)",499.0,3.2
196,"Callmate 20000 mAh Power Bank (15 W, Fast Charging)  (Blue, Lithium Polymer)",1149.0,3.8
197,"Portronics 10000 mAh Power Bank  (White, Lithium Polymer)",699.0,3.7
198,"MIMO BINORI 28000 mAh Power Bank (18 W, Fast Charging)  (Black, Lithium Polymer)",990.0,3.2
199,"Callmate 10000 mAh Power Bank (15 W, Fast Charging)  (Black, Lithium Polymer)",995.0,3.6
200,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Carbon Black, Lithium-ion)",1299.0,4.2
201,"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)  (Beige, Lithium-ion)",1999.0,4.3
202,"Mi 3i 20000 mAh Power Bank (Fast Charging, 18W)  (Black, Lithium Polymer)",2149.0,4.3
203,"boAt 20000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Carbon Black, Lithium-ion)",1799.0,4.8
204,"boAt 10000 mAh Power Bank (22.5 W, Quick Charge 3.0)  (Steel Blue, Lithium-ion)",1299.0,4.2
205,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)  (Black, Lithium Polymer)",899.0,4.1
206,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",1299.0,4.3
207,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,4.2
208,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Black, Lithium Polymer)",1299.0,4.3
209,"Mi 10000 mAh Power Bank (22.5 W, Fast Charging)  (Black, Lithium Polymer)",1699.0,4.3
210,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,5.0
211,"Strongvolt 20000 mAh Power Bank (12 W)  (Black, Lithium-ion)",649.0,3.6
212,"Mi 30000 mAh Power Bank (18 W, Fast Charging, Power Delivery 3.0)  (Black, Lithium Polymer)",3499.0,4.3
213,"Spigen 10000 mAh Wireless Power Bank (20 W, Power Delivery 3.0)  (Black, Lithium Polymer)",1599.0,4.4
214,"Flipkart SmartBuy 20000 mAh Power Bank (22.5 W, Power Delivery 3.0, Quick Charge 3.0)  (Black, Lithium Polymer)",1299.0,4.0
215,"Ambrane 10000 mAh Wireless Power Bank  (Purple, Lithium Polymer)",2088.0,3.6
216,"AJYE 10000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.7
217,"Intex 10000 mAh Power Bank (12 W, Fast Charging)  (Coal Black, Lithium Polymer)",799.0,3.8
218,"Syska 20000 mAh Power Bank (18 W, Fast Charging)  (Midnight Blue, Lithium Polymer)",1549.0,4.1
219,"Ambrane 10000 mAh Power Bank (12 W, Fast Charging)  (Blue, Lithium Polymer)",899.0,4.1
220,"AJYE 20000 mAh Power Bank  (Black, Lithium-ion)",569.0,3.5
221,"AJYE 30000 mAh Power Bank  (Black, Lithium-ion)",569.0,1.7
222,"Ambrane 10000 mAh Wireless Power Bank  (Black, Lithium Polymer)",2289.0,3.6
223,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)  (White, Lithium Polymer)",1199.0,4.2
224,"REDMI 10000 mAh Power Bank (10 W, Fast Charging)  (Black, Lithium Polymer)",1199.0,4.2
225,"Intex 10000 mAh Power Bank (22 W, Fast Charging, Quick Charge 3.0)  (Navy Blue, Lithium Polymer)",899.0,3.7
226,"Gizmore 10000 mAh Power Bank  (Black, Lithium Polymer)",599.0,3.6
227,"Intex 20000 mAh Power Bank (22 W, Fast Charging)  (Coal Black, Lithium Polymer)",1499.0,3.7
228,"Intex 10000 mAh Power Bank (22 W, Fast Charging)  (Coal Black, Lithium Polymer)",899.0,3.7
229,"AMYTEL 20000 mAh Power Bank (25 W, Fast Charging, Quick Charge 4.0)  (Black, Lithium Polymer)",899.0,3.9
230,"ORENICS 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Black, Lithium Polymer)",1299.0,4.0
231,"Foxin 20000 mAh Power Bank (12 W, Fast Charging)  (Blue, Lithium-ion)",1099.0,3.8
232,"Intex 20000 mAh Power Bank (22 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1499.0,3.7
233,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",2399.0,4.2
234,"Ambrane 27000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Black, Lithium Polymer)",2499.0,4.2
235,"Callmate 10000 mAh Power Bank (15 W, Fast Charging)  (Black, Lithium Polymer)",1299.0,3.1
236,"Intex 20000 mAh Power Bank (12 W, Fast Charging)  (Navy Blue, Lithium Polymer)",1199.0,3.8
237,"zofia 20000 mAh Power Bank (18 W, Fast Charging, Power Delivery 2.0)  (Pink, Lithium-ion)",699.0,3.2
238,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Green, Lithium Polymer)",1799.0,4.1
239,"Ambrane 20000 mAh Power Bank (20 W, Quick Charge 3.0, Power Delivery 2.0)  (Blue, Lithium Polymer)",1799.0,4.1
